Order Id;Shipping Mode;Delivery Status;Late_delivery_risk;Days for shipping (real);Days for shipment (scheduled);shipping date (DateOrders)
77202;Standard Class;Advance shipping;0;3;4;2/3/2018 22:56
75939;Standard Class;Late delivery;1;5;4;1/18/2018 12:27
75938;Standard Class;Shipping on time;0;4;4;1/17/2018 12:06
75937;Standard Class;Advance shipping;0;3;4;1/16/2018 11:45
75936;Standard Class;Advance shipping;0;2;4;1/15/2018 11:24
75935;Standard Class;Shipping canceled;0;6;4;1/19/2018 11:03
75934;First Class;Late delivery;1;2;1;1/15/2018 10:42
75933;First Class;Late delivery;1;2;1;1/15/2018 10:21
75932;Second Class;Late delivery;1;3;2;1/16/2018 10:00
75931;First Class;Late delivery;1;2;1;1/15/2018 9:39
75930;Second Class;Shipping canceled;0;6;2;1/19/2018 9:18
75929;Second Class;Late delivery;1;5;2;1/18/2018 8:57
75928;Second Class;Late delivery;1;4;2;1/17/2018 8:36
75927;First Class;Late delivery;1;2;1;1/15/2018 8:15
75926;First Class;Late delivery;1;2;1;1/15/2018 7:54
75925;First Class;Late delivery;1;2;1;1/15/2018 7:33
75924;Second Class;Late delivery;1;5;2;1/18/2018 7:12
75923;First Class;Late delivery;1;2;1;1/15/2018 6:51
75922;First Class;Late delivery;1;2;1;1/15/2018 6:30
75921;Same Day;Shipping on time;0;0;0;1/13/2018 18:09
75920;Same Day;Shipping on time;0;0;0;1/13/2018 17:48
75919;Standard Class;Late delivery;1;5;4;1/18/2018 5:27
75918;Second Class;Late delivery;1;4;2;1/17/2018 5:06
75917;Second Class;Shipping canceled;0;3;2;1/16/2018 4:45
75916;Second Class;Shipping canceled;0;2;2;1/15/2018 4:24
75915;Second Class;Late delivery;1;6;2;1/19/2018 4:03
75914;Second Class;Late delivery;1;5;2;1/18/2018 3:42
75913;Standard Class;Shipping on time;0;4;4;1/17/2018 3:21
75912;Standard Class;Advance shipping;0;3;4;1/16/2018 3:00
75911;Standard Class;Advance shipping;0;2;4;1/15/2018 2:39
75910;Standard Class;Late delivery;1;6;4;1/19/2018 2:18
75909;Standard Class;Late delivery;1;5;4;1/18/2018 1:57
75908;Standard Class;Shipping on time;0;4;4;1/17/2018 1:36
75907;First Class;Late delivery;1;2;1;1/15/2018 1:15
75906;First Class;Late delivery;1;2;1;1/15/2018 0:54
75905;First Class;Late delivery;1;2;1;1/15/2018 0:33
75904;First Class;Late delivery;1;2;1;1/15/2018 0:12
75903;First Class;Late delivery;1;2;1;1/14/2018 23:51
75902;Same Day;Late delivery;1;1;0;1/13/2018 11:30
75901;Same Day;Shipping canceled;0;1;0;1/13/2018 11:09
75900;Same Day;Late delivery;1;1;0;1/13/2018 10:48
75899;Same Day;Late delivery;1;1;0;1/13/2018 10:27
75898;Standard Class;Shipping on time;0;4;4;1/16/2018 22:05
75897;Standard Class;Advance shipping;0;3;4;1/15/2018 21:44
75896;Standard Class;Advance shipping;0;2;4;1/14/2018 21:23
75895;Standard Class;Late delivery;1;6;4;1/18/2018 21:02
75894;Second Class;Late delivery;1;5;2;1/17/2018 20:41
75893;Standard Class;Shipping on time;0;4;4;1/16/2018 20:20
28744;Second Class;Late delivery;1;5;2;2/29/2016 13:57
45461;Second Class;Shipping on time;0;2;2;10/27/2016 14:39
31115;Second Class;Late delivery;1;6;2;4/5/2016 4:37
45766;Second Class;Shipping on time;0;2;2;11/1/2016 1:31
47752;Second Class;Late delivery;1;3;2;12/1/2016 1:18
50054;Second Class;Late delivery;1;5;2;1/5/2017 15:47
20365;Second Class;Late delivery;1;6;2;10/31/2015 6:24
36146;Second Class;Shipping on time;0;2;2;6/13/2016 15:12
41234;Second Class;Late delivery;1;5;2;8/29/2016 21:45
32090;Second Class;Late delivery;1;6;2;4/19/2016 10:12
34773;Second Class;Late delivery;1;4;2;5/26/2016 14:10
44046;Second Class;Shipping on time;0;2;2;10/6/2016 22:55
46414;Second Class;Late delivery;1;5;2;11/13/2016 12:32
46599;Second Class;Late delivery;1;5;2;11/16/2016 5:21
48434;Second Class;Late delivery;1;5;2;12/13/2016 0:14
12827;Second Class;Late delivery;1;3;2;7/10/2015 5:31
63936;Second Class;Shipping on time;0;2;2;7/24/2017 7:16
65030;Second Class;Late delivery;1;6;2;8/13/2017 6:33
18108;Second Class;Late delivery;1;4;2;9/26/2015 7:41
62571;Second Class;Shipping on time;0;2;2;7/4/2017 9:03
17162;Second Class;Late delivery;1;3;2;9/11/2015 12:15
65922;Second Class;Late delivery;1;3;2;8/23/2017 7:03
64813;Second Class;Late delivery;1;4;2;8/8/2017 2:31
67892;Second Class;Late delivery;1;3;2;9/21/2017 1:14
12525;Second Class;Late delivery;1;6;2;7/8/2015 19:42
5895;Second Class;Late delivery;1;6;2;4/3/2015 0:55
56359;Second Class;Late delivery;1;5;2;4/7/2017 16:43
58613;Second Class;Late delivery;1;4;2;5/9/2017 14:23
7824;Second Class;Late delivery;1;5;2;4/30/2015 4:44
7814;Second Class;Late delivery;1;5;2;4/30/2015 1:14
60807;Second Class;Late delivery;1;3;2;6/9/2017 15:03
53413;Second Class;Late delivery;1;4;2;2/22/2017 16:36
7888;Second Class;Late delivery;1;4;2;4/30/2015 3:10
6783;Second Class;Late delivery;1;4;2;4/14/2015 0:02
56973;Second Class;Late delivery;1;4;2;4/15/2017 15:49
55155;Second Class;Late delivery;1;6;2;3/22/2017 2:54
5991;Second Class;Shipping on time;0;2;2;3/31/2015 10:33
2263;Second Class;Late delivery;1;4;2;2/7/2015 0:28
53403;Second Class;Late delivery;1;4;2;2/22/2017 13:05
51298;Second Class;Late delivery;1;4;2;1/22/2017 19:37
4919;Standard Class;Late delivery;1;5;4;3/18/2015 18:59
52640;Standard Class;Late delivery;1;6;4;2/13/2017 9:47
6358;Standard Class;Shipping on time;0;4;4;4/7/2015 19:08
57106;Standard Class;Advance shipping;0;2;4;4/15/2017 14:25
6245;Standard Class;Late delivery;1;6;4;4/8/2015 3:33
52166;Standard Class;Advance shipping;0;2;4;2/2/2017 11:43
56172;Standard Class;Advance shipping;0;3;4;4/2/2017 23:12
55829;Standard Class;Late delivery;1;5;4;3/30/2017 23:02
52478;Standard Class;Shipping on time;0;4;4;2/9/2017 1:01
57242;Standard Class;Advance shipping;0;3;4;4/18/2017 14:04
3137;Standard Class;Advance shipping;0;3;4;2/18/2015 18:40
60127;Standard Class;Advance shipping;0;3;4;5/30/2017 16:48
3828;Standard Class;Shipping on time;0;4;4;3/1/2015 20:46
60386;Standard Class;Advance shipping;0;2;4;6/2/2017 11:33
973;Standard Class;Shipping on time;0;4;4;1/19/2015 4:32
57999;Standard Class;Late delivery;1;5;4;5/1/2017 15:16
54585;Standard Class;Late delivery;1;6;4;3/13/2017 19:12
57598;Standard Class;Shipping on time;0;4;4;4/24/2017 18:47
54274;Standard Class;Late delivery;1;5;4;3/8/2017 6:14
60673;Standard Class;Shipping on time;0;4;4;6/8/2017 16:06
59387;Standard Class;Advance shipping;0;3;4;5/19/2017 21:33
10007;Standard Class;Advance shipping;0;3;4;5/30/2015 1:32
55984;Standard Class;Late delivery;1;5;4;4/2/2017 5:20
58375;Standard Class;Late delivery;1;6;4;5/8/2017 3:00
56448;Standard Class;Shipping on time;0;4;4;4/7/2017 23:53
8221;Standard Class;Advance shipping;0;2;4;5/2/2015 23:49
58034;Standard Class;Late delivery;1;5;4;5/2/2017 3:32
2203;Standard Class;Shipping on time;0;4;4;2/6/2015 3:27
53069;Standard Class;Late delivery;1;5;4;2/18/2017 16:05
60146;Standard Class;Advance shipping;0;2;4;5/29/2017 23:28
55409;Standard Class;Late delivery;1;5;4;3/24/2017 19:53
8678;Standard Class;Shipping on time;0;4;4;5/11/2015 15:56
7980;Standard Class;Late delivery;1;6;4;5/3/2015 11:23
57185;Standard Class;Late delivery;1;6;4;4/20/2017 18:06
8636;Standard Class;Advance shipping;0;2;4;5/9/2015 1:13
61192;Standard Class;Advance shipping;0;3;4;6/15/2017 5:55
55876;Standard Class;Advance shipping;0;2;4;3/28/2017 15:30
53331;Standard Class;Advance shipping;0;2;4;2/19/2017 11:52
51725;Standard Class;Late delivery;1;6;4;1/31/2017 1:13
52562;Standard Class;Advance shipping;0;3;4;2/9/2017 6:27
59754;Standard Class;Late delivery;1;5;4;5/27/2017 6:08
53574;Standard Class;Late delivery;1;5;4;2/26/2017 1:00
399;Standard Class;Late delivery;1;5;4;1/11/2015 19:26
51050;Second Class;Late delivery;1;6;2;1/21/2017 4:44
45680;Second Class;Late delivery;1;6;2;11/3/2016 19:23
42992;Second Class;Late delivery;1;3;2;9/22/2016 13:39
41304;Second Class;Late delivery;1;5;2;8/30/2016 22:16
44253;Second Class;Late delivery;1;4;2;10/11/2016 23:26
46098;Second Class;Late delivery;1;4;2;11/7/2016 21:49
71077;Second Class;Late delivery;1;3;2;11/6/2017 13:05
69703;Second Class;Late delivery;1;4;2;10/18/2017 11:42
71112;Second Class;Late delivery;1;3;2;11/7/2017 1:21
69810;Second Class;Late delivery;1;6;2;10/22/2017 1:12
71092;Second Class;Late delivery;1;3;2;11/6/2017 18:20
69610;Second Class;Late delivery;1;6;2;10/19/2017 3:08
71000;Second Class;Late delivery;1;6;2;11/8/2017 10:06
70734;Second Class;Late delivery;1;5;2;11/3/2017 12:55
69626;Second Class;Shipping on time;0;2;2;10/15/2017 8:44
69482;Second Class;Late delivery;1;3;2;10/14/2017 6:17
70769;Second Class;Late delivery;1;5;2;11/4/2017 1:10
69643;Second Class;Late delivery;1;4;2;10/17/2017 14:41
71051;Second Class;Shipping on time;0;2;2;11/5/2017 3:58
69408;Second Class;Late delivery;1;4;2;10/14/2017 4:21
71123;Second Class;Late delivery;1;4;2;11/8/2017 5:12
70534;Second Class;Late delivery;1;5;2;10/31/2017 14:51
69641;Second Class;Shipping on time;0;2;2;10/15/2017 13:59
70960;Second Class;Late delivery;1;6;2;11/7/2017 20:05
69908;Second Class;Late delivery;1;4;2;10/21/2017 11:32
70957;Second Class;Late delivery;1;3;2;11/4/2017 19:02
69637;Second Class;Late delivery;1;3;2;10/16/2017 12:35
70955;Second Class;Late delivery;1;6;2;11/7/2017 18:20
70919;Second Class;Late delivery;1;5;2;11/6/2017 5:44
71009;Second Class;Late delivery;1;5;2;11/7/2017 13:15
69653;Second Class;Late delivery;1;4;2;10/17/2017 18:11
69527;Second Class;Late delivery;1;3;2;10/14/2017 22:03
71080;Second Class;Late delivery;1;6;2;11/9/2017 14:08
70544;Second Class;Late delivery;1;5;2;10/31/2017 18:21
69471;Second Class;Shipping on time;0;2;2;10/13/2017 2:26
68879;Second Class;Late delivery;1;5;2;10/7/2017 11:01
67214;Second Class;Late delivery;1;5;2;9/13/2017 3:42
17810;Second Class;Late delivery;1;6;2;9/23/2015 23:17
18793;Second Class;Late delivery;1;4;2;10/6/2015 7:40
65109;Second Class;Late delivery;1;5;2;8/13/2017 10:13
15673;Second Class;Late delivery;1;4;2;8/21/2015 18:35
18183;Second Class;Late delivery;1;4;2;9/27/2015 9:57
20234;Second Class;Late delivery;1;5;2;10/28/2015 8:31
13139;Second Class;Late delivery;1;5;2;7/16/2015 18:49
33824;Standard Class;Shipping canceled;0;5;4;5/13/2016 17:42
31364;Standard Class;Shipping canceled;0;5;4;4/7/2016 19:51
40495;Standard Class;Shipping canceled;0;6;4;8/20/2016 2:51
34506;Standard Class;Shipping canceled;0;2;4;5/20/2016 16:38
33607;Standard Class;Shipping canceled;0;3;4;5/8/2016 13:40
32617;Standard Class;Shipping canceled;0;3;4;4/24/2016 2:50
37496;Standard Class;Shipping canceled;0;2;4;7/3/2016 8:10
49075;Standard Class;Shipping canceled;0;6;4;12/23/2016 8:48
41623;Standard Class;Shipping canceled;0;4;4;9/3/2016 14:02
39271;Standard Class;Shipping canceled;0;2;4;7/29/2016 6:01
38598;Standard Class;Shipping canceled;0;4;4;7/21/2016 10:14
37845;Standard Class;Shipping canceled;0;6;4;7/12/2016 10:26
42331;Standard Class;Shipping canceled;0;2;4;9/11/2016 22:05
41345;Standard Class;Shipping canceled;0;6;4;9/1/2016 12:38
51168;Standard Class;Shipping canceled;0;4;4;1/20/2017 22:04
43599;Standard Class;Shipping canceled;0;5;4;10/3/2016 10:19
41901;Standard Class;Shipping canceled;0;2;4;9/5/2016 15:26
42751;Standard Class;Advance shipping;0;2;4;9/18/2016 1:13
45088;Standard Class;Shipping on time;0;4;4;10/24/2016 3:59
50489;Standard Class;Late delivery;1;5;4;1/12/2017 0:11
44409;Standard Class;Late delivery;1;5;4;10/15/2016 6:06
42101;Standard Class;Advance shipping;0;2;4;9/8/2016 13:30
50424;Standard Class;Late delivery;1;5;4;1/11/2017 1:25
49825;Standard Class;Late delivery;1;6;4;1/3/2017 7:33
41294;Standard Class;Late delivery;1;5;4;8/30/2016 18:46
42023;Standard Class;Shipping on time;0;4;4;9/9/2016 10:10
47774;Standard Class;Late delivery;1;5;4;12/3/2016 9:00
41827;Standard Class;Advance shipping;0;3;4;9/5/2016 13:30
47193;Standard Class;Shipping on time;0;4;4;11/23/2016 21:27
42626;Standard Class;Advance shipping;0;2;4;9/16/2016 5:26
46199;Standard Class;Late delivery;1;5;4;11/10/2016 9:13
48468;Standard Class;Shipping on time;0;4;4;12/12/2016 12:08
51009;Standard Class;Late delivery;1;5;4;1/19/2017 14:22
46229;Standard Class;Late delivery;1;5;4;11/10/2016 19:43
42882;Standard Class;Advance shipping;0;3;4;9/20/2016 23:07
46827;Standard Class;Advance shipping;0;3;4;11/17/2016 13:14
48684;Standard Class;Late delivery;1;5;4;12/16/2016 15:49
46416;Standard Class;Advance shipping;0;2;4;11/10/2016 13:14
47343;Standard Class;Shipping on time;0;4;4;11/26/2016 2:00
41686;Standard Class;Advance shipping;0;2;4;9/2/2016 12:06
41896;Standard Class;Advance shipping;0;2;4;9/5/2016 13:41
28168;Standard Class;Shipping on time;0;4;4;2/20/2016 4:09
24992;Standard Class;Advance shipping;0;3;4;1/3/2016 19:27
30851;Standard Class;Advance shipping;0;2;4;3/28/2016 8:07
25074;Standard Class;Late delivery;1;5;4;1/7/2016 0:11
76870;Standard Class;Late delivery;1;6;4;2/2/2018 2:38
25163;Standard Class;Shipping on time;0;4;4;1/7/2016 7:22
28036;Standard Class;Advance shipping;0;2;4;2/16/2016 5:54
22679;Standard Class;Late delivery;1;5;4;12/3/2015 1:06
23610;Standard Class;Late delivery;1;6;4;12/17/2015 15:17
42828;Standard Class;Shipping on time;0;4;4;9/21/2016 4:12
48713;Standard Class;Shipping on time;0;4;4;12/16/2016 1:59
45668;Standard Class;Shipping on time;0;4;4;11/1/2016 15:11
74796;Standard Class;Advance shipping;0;2;4;12/29/2017 20:01
27918;Standard Class;Shipping on time;0;4;4;2/16/2016 12:34
30097;Standard Class;Advance shipping;0;3;4;3/18/2016 7:58
30966;Standard Class;Advance shipping;0;2;4;3/30/2016 0:25
30063;Standard Class;Shipping on time;0;4;4;3/18/2016 20:03
22019;Standard Class;Late delivery;1;5;4;11/23/2015 9:53
24230;Standard Class;Late delivery;1;6;4;12/26/2015 16:29
